Title,Company,Experience,Salary,Location,Skills,Link
hiring talent executives / hr snr manager,hr recruiters,0-3 yrs,1.5-3 lacs pa,lucknow,"recruitment, communication skills, it college, hiring, aktu, agdc, hr, staffing",https://www.naukri.com/job-listings-hiring-talent-executives-hr-snr-manager-kvc-consultants-ltd-lucknow-0-to-3-years-190617001565
diploma mechanical engineer job for freshers in dubai,art technologies,0-1 yrs,4-6 lacs pa,"dubai, thiruvananthapuram, united arab emirates","duct, technician, machine operator, engineer, production, lathe, industrial engineering, cnc milling",https://www.naukri.com/job-listings-diploma-mechanical-engineer-for-freshers-in-dubai-art-technologies-thiruvananthapuram-dubai-united-arab-emirates-0-to-1-years-180325020567
chemist / officer - production - bsc chemistry,scorelabs inc,0-4 yrs,2-2.75 lacs pa,"vijayawada, guntur, kondapalli","api, production department, r&d, chemistry, bsc, bulk drug, lab, r",https://www.naukri.com/job-listings-chemist-officer-production-bsc-chemistry-scoresoftlabsopc-vijayawada-guntur-kondapalli-0-to-4-years-190325005537
dot net web developer,doxbird solutions,2-5 yrs,,ludhiana,"java, business analysts, development, c, architects, html, sql, lead developers",https://www.naukri.com/job-listings-dot-net-web-developer-doxbird-solutions-ludhiana-2-to-5-years-130917502029
"project engineer, sr.",lam research,3-7 yrs,,bengaluru,"plm, project management, sap, writing, cad, pdm, communication skills, sr",https://www.naukri.com/job-listings-project-engineer-sr-lam-research-bengaluru-3-to-7-years-180325501382
dot net support,xangars infratech solutions,2-4 yrs,"50,000-3 lacs pa",goregaon,".net framework, sql, c#, dot, .net, framework",https://www.naukri.com/job-listings-dot-net-support-xangars-infratech-solutions-goregaon-2-to-4-years-190325007266
human resource recruiter,team hotels and resorts,0-4 yrs,,"new delhi, gurugram, delhi / ncr","hospitality, recruitment, talent acquisition, hiring, acquisition, human resource management, resource",https://www.naukri.com/job-listings-human-resource-recruiter-team-hotels-and-resorts-new-delhi-gurugram-delhi-ncr-0-to-4-years-180325008654
it recruiter - immeiate joiner and acoording to budget only,gaming company,3-4 yrs,,"delhi / ncr(pitampura), pitampura, newdelhi","sourcing profiles, it recruitment, screnning, domestic staffing, technical recruitment, rpo, it staffing, permanent staffing",https://www.naukri.com/job-listings-it-recruiter-immeiate-joiner-and-acoording-to-budget-only-manpowergroup-services-india-delhi-ncr-pitampura-newdelhi-3-to-4-years-130225000139
product engineer 3,lam research,5-8 yrs,,bengaluru,"plm, sap, writing, pdm, software engineering, production engineering, communication skills, production",https://www.naukri.com/job-listings-product-engineer-3-lam-research-bengaluru-5-to-8-years-180325501374
dot net developer,persistent,4-8 yrs,,"south goa, north goa","c#, .net core, sql, development, dot, .net, core",https://www.naukri.com/job-listings-dot-net-developer-persistent-south-goa-north-goa-4-to-8-years-130325014231
dot net web developers,pureapps information technologies,7-14 yrs,,bharuch,"net web development, css, web application, application design, ado.net, ajax, jquery, asp.net",https://www.naukri.com/job-listings-dot-net-web-developers-pureapps-information-technologies-bharuch-7-to-14-years-180325500885
dot net developer,newt global,3-6 yrs,,hyderabad,"c, mvc, development, dot, .net",https://www.naukri.com/job-listings-dot-net-developer-newt-global-hyderabad-3-to-6-years-121023502310
dot net lead,persistent,7-12 yrs,,hyderabad,".net core, multithreading, c#, kafka, wcf, wpf, rabbitmq, dot",https://www.naukri.com/job-listings-dot-net-lead-persistent-hyderabad-7-to-12-years-130325020729
dot net developer,htc global services,8-10 yrs,,bengaluru,"css, front end, git, database management, javascript, agile, .net, html",https://www.naukri.com/job-listings-dot-net-developer-htc-global-services-india-pvt-ltd-bengaluru-8-to-10-years-190325508353
"dot net core developer, software developer, .net core developer",infogain,5-10 yrs,,"noida, gurugram, delhi / ncr","c#, linq, asp.net core, entity framework core, .net core, web api, core network, javascript",https://www.naukri.com/job-listings-dot-net-core-developer-software-developer-net-core-developer-infogain-noida-gurugram-delhi-ncr-5-to-10-years-181024004260
c# dot net backend web developer,jenoptik india,5-8 yrs,,bengaluru,"backend, automation testing, git, coding, web application, microsoft azure, product design, distribution system",https://www.naukri.com/job-listings-c-dot-net-backend-web-developer-jenoptik-india-pvt-ltd-bengaluru-5-to-8-years-121124504674
production engineer,siemens,1-6 yrs,,aurangabad,"plm, automation, production planning, project management, siemens, occupational health, html, continuous improvement",https://www.naukri.com/job-listings-production-engineer-siemens-limited-aurangabad-1-to-6-years-060225504038
det -freshers,talent seed hr services,0 yrs,,"ahmedabad, rajkot, vadodara","machine operating, diploma, cnc programming, machine setting, iti, operating, machine, programming",https://www.naukri.com/job-listings-det-freshers-talent-seed-hr-services-ahmedabad-rajkot-vadodara-0-to-0-years-070325017108
hr intern,ingsol,,unpaid,noida,,https://www.naukri.com/job-listings-hr-intern-ingsol-noida-0-to-1-years-050325505117
cad engineer | gurgaon |,f&f consulting services,0-3 yrs,3-6 lacs pa,"gurugram(sector 49 gurgaon), delhi / ncr","cad, cam, solid edge, flow simulation, autocad, cae, ansys, creo",https://www.naukri.com/job-listings-cad-engineer-gurgaon-f-f-consulting-services-gurugram-delhi-ncr-0-to-3-years-060225007304
dot net web developer,vcssystems,1-3 yrs,,bengaluru,"erp, jquery, coding, debugging, healthcare, visual studio, stored procedures, unit testing",https://www.naukri.com/job-listings-dot-net-web-developer-vcs-systems-bengaluru-1-to-3-years-100225503329
intern - people and culture,smytten,0-1 yrs,,ahmedabad,"training, interpersonal skills, hr operations, intern, social media, employee engagement, transition, hr",https://www.naukri.com/job-listings-intern-people-and-culture-smytten-ahmedabad-0-to-1-years-110325505354
dot net developer,i global services,3-7 yrs,2.5-5.5 lacs pa,ahmedabad,"css, javascript, asp.net, html, sql server, web api, c# mvc, api",https://www.naukri.com/job-listings-dot-net-developer-i-global-services-ahmedabad-3-to-7-years-041223001572
production engineer/ shift engg- prayagraj,varun beverages limited,5-8 yrs,5-7 lacs pa,prayagraj(naini),"production, fmcg, diary, beverage, engineering, production engineering",https://www.naukri.com/job-listings-production-engineer-shift-engg-prayagraj-varun-beverages-limited-prayagraj-5-to-8-years-080325008896
talent acquisition intern,newton school,,unpaid,bengaluru,,https://www.naukri.com/job-listings-talent-acquisition-intern-newton-school-bengaluru-0-to-1-years-100325503709
fresher mechanical engineer (wada- maharashtra),navrang hr solutions,0-1 yrs,2-2.5 lacs pa,"bhiwandi, vada","production, mechanical, mechanical engineering, mechanical maintenance, maintenance, engineering",https://www.naukri.com/job-listings-fresher-mechanical-engineer-wada-maharashtra-navrang-hr-solutions-bhiwandi-vada-0-to-1-years-080325007740
technical recruiter,zemantics inc,0-2 yrs,,hyderabad,"sap, networking, linux, devops, h1b, .net, windows, taxation",https://www.naukri.com/job-listings-technical-recruiter-zemantics-inc-hyderabad-0-to-2-years-090323502590
production engineer,synergy resource solutions,4-7 yrs,,"sanand, ahmedabad","rca, basic, sap, excel, sales, heavy engineering, data collection, microsoft",https://www.naukri.com/job-listings-production-engineer-synergy-resource-solutions-sanand-ahmedabad-4-to-7-years-050325504341
factory manager pharma plastic packaging industry,people alliance workforce,12-20 yrs,,"daman & diu, delhi / ncr, mumbai (all areas)","factory manager, pharma plastic packaging industry, pharma packaging, factory head, plant head, plant management, administration, plant operations",https://www.naukri.com/job-listings-factory-manager-pharma-plastic-packaging-industry-people-alliance-workforce-daman-diu-delhi-ncr-mumbai-all-areas-12-to-20-years-070225914585
dot net full stack web developer,dutech systems inc,4-6 yrs,,hyderabad,"ms sql, jquery, mysql, javascript, wcf, mvc, oracle, wpf",https://www.naukri.com/job-listings-dot-net-full-stack-web-developer-dutech-systems-hyderabad-4-to-6-years-101224504558
dot net developer,virtusa,7-12 yrs,,bengaluru,"dotnet, account permissions, iis, c#.net, agile methodology, mvc, api integration, web application pool",https://www.naukri.com/job-listings-dot-net-developer-virtusa-consulting-services-pvt-ltd-bengaluru-7-to-12-years-050325923298
senior automation tester (dot net),epam systems,5-8 yrs,,hyderabad,"process design, nunit, continuous integration, automation, automation testing, agile, programming, selenium",https://www.naukri.com/job-listings-senior-automation-tester-dot-net-epam-anywhere-hyderabad-5-to-8-years-070125504870
senior solution architect (dot net core + cloud),epam systems,10-16 yrs,,bengaluru,"solution architecture, change management, front end, enterprise architecture, web development, javascript, scrum, application architecture",https://www.naukri.com/job-listings-senior-solution-architect-dot-net-core-cloud-epam-anywhere-bengaluru-10-to-16-years-070125505010
senior solution architect (dot net core + cloud),epam systems,10-16 yrs,,hyderabad,"solution architecture, change management, front end, enterprise architecture, web development, javascript, scrum, application architecture",https://www.naukri.com/job-listings-senior-solution-architect-dot-net-core-cloud-epam-anywhere-hyderabad-10-to-16-years-070125504740
dot net angular technical architect (expert in angular),cgi,8-10 yrs,,bengaluru,"ms sql, multithreading, xml, web development, javascript, agile, data structures, xslt",https://www.naukri.com/job-listings-dot-net-angular-technical-architect-expert-in-angular-cgi-information-systems-and-management-consultants-bengaluru-8-to-10-years-090824501226
dot net core developer (lead),infogain,8-11 yrs,,bengaluru,"github, software development methodologies, git, web development, agile, entity framework, asp.net, html",https://www.naukri.com/job-listings-dot-net-core-developer-lead-infogain-india-p-ltd-bengaluru-8-to-11-years-070225506175
supply chain / logistics team leader,siemens,10-14 yrs,,thane,"supply chain, material management, inventory monitoring, sap, production planning, logistics, inventory planning, materials",https://www.naukri.com/job-listings-supply-chain-logistics-team-leader-siemens-limited-thane-10-to-14-years-020425909118
hr recruiter,the halo trust,0-3 yrs,,new delhi,"social media, psychology, hr, management, advertising, monitoring, recruitment, media",https://www.naukri.com/job-listings-hr-recruiter-the-halo-trust-new-delhi-0-to-3-years-290823500917
"kpmg india, internal communication- senior executive",kpmg india,2-6 yrs,,gurugram,"audio visual, agency management, interpersonal skills, senior executive, project management, consulting, employee engagement, ms office tools",https://www.naukri.com/job-listings-kpmg-india-internal-communication-senior-executive-kpmg-india-gurugram-2-to-6-years-010425501213
diploma mechanical engineer,victora auto,0 yrs,1.5-1.75 lacs pa,"haridwar, faridabad, gurugram","diploma automobile, diploma mechanical, auto ancillary, automobile, mechanical engineering, automotive, auto, engineering",https://www.naukri.com/job-listings-diploma-mechanical-engineer-minerva-consultants-haridwar-faridabad-gurugram-0-to-0-years-040325010360
production engineer,secure meters,2-7 yrs,5-8 lacs pa,sanand,"7qc, root cause analysis, capa, process improvement, pfmea, analysis, production, production engineering",https://www.naukri.com/job-listings-production-engineer-secure-meters-sanand-2-to-7-years-040325016643
